property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
97544725,84264600,1,,,
97544816,84264698,4,,,
97544732,84264607,7,,,
97544838,84264724,5,,,
97544840,84264724,7,,,
97544698,84264572,7,,,
97544703,84264575,4,,,
97544731,84264604,1,,,
97545912,84263804,7,,,
97544704,84264576,7,,,
97544742,84264613,7,1,,
97544805,84264686,7,,,
97544820,84264701,7,,,
97545944,84263832,4,,,
97545918,84264646,6,,,
97544692,84264566,7,,,
97545953,84263842,7,,,
97544741,84264612,3,,,
97545904,84264612,7,,,
97545917,84263809,7,,,
97545924,84263818,4,,,
97544690,84264564,7,,,
97544797,84264672,7,,,
97544696,84264569,7,,,
97544814,84264693,7,,,
97545959,84264710,1,,,
97545879,84263751,4,,,
97544844,84264728,4,,,
97544752,84263791,4,,,
99190013,86038988,7,,,
98810003,85621091,6,,,
100061979,87004578,7,,,
97920237,84661480,7,,,
97919614,84662945,7,,,
97920285,84662997,6,,,
97920302,84663012,7,,,
97919602,84662934,7,,,
97919626,84662962,7,,,
97919644,84662982,7,,,
97919641,84662982,4,,,
97919655,84663000,1,,,
97920287,84663528,6,,,
97919627,84661485,7,,,
97920259,84662971,6,,,
97919649,84662991,7,,,
97920229,84661470,7,,,
97919660,84663542,7,,,
97919598,84662927,7,,,
97919613,84661462,6,,,
97920206,84661443,7,,,
98339859,85116613,7,,,
97920207,84662929,7,,,
97920252,84662964,7,,,
97920269,84661508,7,1,,
98810020,85621110,6,,,
97919599,84662930,7,,,
97920271,84661512,7,,,
97920263,84661501,7,,,
97920289,84663529,7,,,
97920308,84663544,1,,,
97919631,84661498,7,,,
97919615,84661463,7,,,
97920297,84663006,7,,,
99190018,86038996,4,,,
98339844,85116197,6,,,
99190452,86039010,7,,,
99190447,86039633,7,,,
98810012,85621101,1,,,
98810017,85621108,7,,,
99581575,86470462,6,,,
98810010,85621100,4,,,
98810011,85621100,7,,,
99190441,86039628,6,,,
99190437,86038993,7,,,
99190453,86039637,6,,,
99581162,86470457,6,,,
99581165,86470463,6,,,
100062679,87004571,5,,,
100062680,87004571,7,,,
99190028,86039016,4,,,
99190462,86039645,5,,,
99190526,86039707,7,,,
99190525,86039707,3,,,
99190492,86039674,4,,,
99190511,86039070,6,,,
99190470,86039651,7,,,
99190500,86039679,7,,,
99190534,86039713,4,,,
99190085,86039706,7,,,
99190031,86039019,7,,,
99190483,86039033,6,,,
99190059,86039053,6,,,
99190068,86039071,7,,,
99190083,86039703,7,,,
99190033,86039023,7,,,
99190476,86039658,7,,,
99190041,86039030,7,,,
99190049,86039671,7,,,
99190499,86039055,7,,,
99190071,86039693,4,,,
99190463,86039021,4,,,
99190072,86039073,7,,,
99190537,86039091,7,,,
99190464,86039646,4,,,
99190038,86039659,7,1,,
99190533,86039089,4,,,
99190484,86039034,6,,,
99190523,86039085,6,,,
99190089,86039720,7,,,
99190035,86039653,7,1,,
99190048,86039669,7,,,
99190036,86039657,6,,,
99190490,86039041,7,,,
99190501,86039681,7,,,
99190513,86039694,4,,,
99190528,86039708,7,,,
99190459,86039641,4,,,
99190491,86039042,7,,,
99190475,86039656,4,,,
100062682,87004573,7,,,
104293589,91619281,7,,,
99190556,86039745,7,,,
99190558,86039748,7,,,
99190569,86039761,7,,,
99190574,86039765,4,,,
99190587,86039777,7,,,
99190545,86039730,7,,,
99190554,86039743,7,,,
99190559,86039750,4,,,
99190561,86039752,7,,,
99190571,86039763,4,,,
99190586,86039776,7,,,
99190104,86039106,7,,,
99190107,86039112,4,,,
99190108,86039113,7,,,
99190110,86039117,6,,,
99190111,86039120,7,,,
99190113,86039127,7,,,
99190116,86039130,7,,,
99190118,86039133,1,,,
99190123,86039138,4,,,
99190124,86039139,7,,,
99190096,86039098,7,,,
99190106,86039111,7,,,
99190112,86039122,7,,,
99190121,86039136,4,,,
99190129,86039145,7,,,
99190105,86039107,7,,,
99190122,86039137,7,,,
99190109,86039114,1,,,
99190557,86039115,7,,,
99190562,86039754,6,,,
99190114,86039128,4,,,
99190128,86039142,7,,,
99190549,86039734,7,,,
99190555,86039744,7,,,
99190564,86039757,7,,,
99190570,86039762,7,,,
99190575,86039766,4,,,
99190581,86039771,7,,,
99581566,86471088,7,,,
99581163,86471095,6,,,
99190099,86039733,7,,,
100062683,87004574,7,,,
99581577,86471097,7,,,
99581576,86471097,5,,,
100062690,87004583,7,,,
99581570,86471093,7,,,
100062675,87004568,7,,,
99581641,86471171,7,,,
99581645,86471176,7,,,
99581596,86471122,7,,,
99581610,86471130,4,,,
99581622,86471147,7,,,
99581625,86471150,7,,,
99582205,86471156,6,,,
99190589,86039780,1,,,
99582191,86470490,7,,,
99582197,86470496,7,,,
99581642,86471174,7,,,
99581588,86470472,7,,,
99582223,86470513,7,,,
99581173,86471110,7,,,
99582181,86470479,7,,,
