year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2016,Pennsylvania,PA,17197,PA0640500,County Detective: Wayne County,0,8D,"Non-MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17241,PA0654400,County Detective: Westmoreland County,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,23104,PA0660500,County Detective: Wyoming County,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17299,PA0674500,County Detective: York County,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16741,PA0406100,Courtdale,731,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16564,PA0353300,Covington Township,2322,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15819,PA0031800,Cowanshannock Township ,2858,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,15768,PA0026100,Crafton,6354,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16044,PA0101200,Cranberry Township,30697,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16281,PA0200000,Crawford,0,8D,"Non-MSA counties under 10,000",0,0,0,0,1,1,0
2016,Pennsylvania,PA,15719,PA0021H00,Crescent Township,2618,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16062,PA0110700,Cresson,1636,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16987,PA0540100,Cressona,1631,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16077,PA0112300,Cresson Township,2537,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16096,PA0115300,Croyle Township,2291,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16298,PA0210000,Cumberland,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15656,PA0010500,"Cumberland Township, Adams County",6199,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16490,PA0300400,"Cumberland Township, Greene County",6425,6,"Cities from 2,500 thru 9,999",0,11,0,0,0,0,0
2016,Pennsylvania,PA,15890,PA0060300,Cumru Township,15200,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16218,PA0170300,Curwensville,2473,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16063,PA0110800,Dale,1176,7,"Cities under 2,500",0,11,0,0,0,0,0
2016,Pennsylvania,PA,16692,PA0400100,Dallas,2784,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17272,PA0670500,Dallastown,4008,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16735,PA0405000,Dallas Township,9294,6,"Cities from 2,500 thru 9,999",0,11,0,0,0,0,0
2016,Pennsylvania,PA,16554,PA0352200,Dalton,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16548,PA0351500,Dalton,1234,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16889,PA0470100,Danville,4731,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16364,PA0230800,Darby,10697,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16365,PA0230900,Darby Township,9328,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15872,PA0045400,Darlington Township,1933,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15848,PA0042100,Daugherty Township,3136,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16324,PA0220000,Dauphin,0,9D,"MSA counties under 10,000",0,0,0,0,0,0,0
2016,Pennsylvania,PA,16348,PA0222700,Dauphin,784,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16445,PA0260900,Dawson,357,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16104,PA0116200,Dean Township,376,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16225,PA0171400,Decatur Township,4881,6,"Cities from 2,500 thru 9,999",0,11,0,0,0,0,0
2016,Pennsylvania,PA,17004,PA0541800,Delano Township,429,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16356,PA0230000,Delaware,0,9D,"MSA counties under 10,000",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16399,PA0234800,Delaware County District Attorney Criminal Investigation Division,0,9D,"MSA counties under 10,000",0,9,0,0,0,0,0
2016,Pennsylvania,PA,16397,PA0234400,Delaware County Park,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16815,PA0450100,Delaware Water Gap,711,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17237,PA0653800,Delmont,2643,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16589,PA0362000,Denver,3870,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16352,PA0223800,Department of Environmental Resources,0,9D,"MSA counties under 10,000",0,0,0,0,0,0,0
2016,Pennsylvania,PA,17217,PA0651500,Derry,2595,6,"Cities from 2,500 thru 9,999",0,6,0,0,0,0,0
2016,Pennsylvania,PA,16806,PA0440300,Derry Township,7310,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16339,PA0221500,"Derry Township, Dauphin County",24930,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16320,PA0212600,Dickinson College,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16543,PA0350800,Dickson City,5990,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17278,PA0671400,Dillsburg,2569,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,17160,PA0632100,Donegal Township,2436,7,"Cities under 2,500",0,5,0,0,0,0,0
2016,Pennsylvania,PA,17146,PA0630600,Donora,4661,6,"Cities from 2,500 thru 9,999",0,5,0,0,0,0,0
2016,Pennsylvania,PA,15679,PA0020800,Dormont,8496,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15920,PA0063400,"Douglass Township, Berks County",3534,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16875,PA0464900,"Douglass Township, Montgomery County",10449,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17307,PA067610X,Dover Borough,1987,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,17303,PA0675000,Dover Township,21335,5,"Cities from 10,000 thru 24,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16150,PA0150200,Downingtown,7947,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15982,PA0090400,Doylestown,8290,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16003,PA0092700,Doylestown Township,17463,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15769,PA0026200,Dravosburg,1770,7,"Cities under 2,500",0,0,0,0,1,0,0
2016,Pennsylvania,PA,17198,PA0640600,Dreher Township,1346,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16024,PA0095700,Dublin Borough,2146,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16217,PA0170200,Du Bois,7596,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16759,PA0411000,Duboistown,1215,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16446,PA0261000,Dunbar,1014,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16953,PA0500200,Duncannon,1486,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,15952,PA0070800,Duncansville,1204,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16537,PA0350200,Dunmore,13725,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16236,PA0180500,Dunnstable Township,1021,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16693,PA0400200,Dupont,2702,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15680,PA0020900,Duquesne,5509,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16694,PA0400300,Duryea,4912,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17072,PA0570100,Dushore,592,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16590,PA0362100,Earl Township,7178,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16908,PA0481400,East Bangor,1613,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15659,PA0010800,East Berlin,1525,7,"Cities under 2,500",0,11,0,0,0,0,0
2016,Pennsylvania,PA,17161,PA0632200,East Bethlehem Township,2301,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16207,PA0160300,East Brady,924,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,Pennsylvania,PA,16192,PA0154900,East Brandywine Township,8387,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17111,PA0600200,East Buffalo Township,6480,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16105,PA0116300,East Carroll,1612,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16605,PA0363700,East Cocalico Township,10465,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16064,PA0110900,East Conemaugh,1465,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16191,PA0154800,East Coventry Township,6771,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15683,PA0020C00,East Deer Township,1485,7,"Cities under 2,500",0,10,0,0,0,0,0
2016,Pennsylvania,PA,16607,PA0363900,East Earl Township,6800,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,Pennsylvania,PA,15663,PA0011800,Eastern Adams Regional,7347,6,"Cities from 2,500 thru 9,999",1,12,0,1,0,1,0
2016,Pennsylvania,PA,16970,PA0520400,Eastern Pike Regional,4642,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16169,PA0152100,East Fallowfield Township,7591,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15822,PA0032200,East Franklin Township,3998,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16591,PA0362300,East Hempfield Township,24287,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16608,PA0364000,East Lampeter Township,17019,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16366,PA0231000,East Lansdowne,2668,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16199,PA0156200,East Marlborough Township,7302,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15770,PA0026300,East McKeesport,2690,6,"Cities from 2,500 thru 9,999",0,2,0,0,0,0,0
2016,Pennsylvania,PA,16837,PA0460800,East Norriton Township,14219,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17033,PA0545100,East Norwegian Township,839,7,"Cities under 2,500",0,0,0,0,0,0,0
2016,Pennsylvania,PA,16898,PA0480400,Easton,27116,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16928,PA0484100,Easton Area School District,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16301,PA0210300,East Pennsboro Township,21570,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,Pennsylvania,PA,16128,PA0131500,East Penn Township,2812,6,"Cities from 2,500 thru 9,999",0,6,0,0,0,0,0
2016,Pennsylvania,PA,16592,PA0362400,East Petersburg,4520,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16177,PA0153200,East Pikeland Township,7423,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15771,PA0026400,East Pittsburgh,1800,7,"Cities under 2,500",0,4,0,0,0,0,0
2016,Pennsylvania,PA,15858,PA0043400,East Rochester,550,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16004,PA0092800,East Rockhill Township,5749,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16816,PA0450200,East Stroudsburg,9571,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16824,PA0451100,East Stroudsburg University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16078,PA0112600,East Taylor Township,2606,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16151,PA0150300,Easttown Township,10635,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17035,PA0545300,East Union Township,1611,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17238,PA0653900,East Vandergrift,653,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16178,PA0153300,East Vincent Township,6867,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17162,PA0632300,East Washington,1965,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16152,PA0150400,East Whiteland Township,10773,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
