victim_id,offense_id
91038110,91125057
91038077,91125026
93506805,93612382
93506804,93612382
91527939,91619110
93981705,94087370
93981705,94087371
91527917,91618091
91037625,91125528
91037626,91125528
91037653,91125560
91038673,91125588
91038690,91125610
91038311,91125627
91038736,91125658
91038192,91125423
91037604,91125513
91037635,91125538
91038665,91125576
91038681,91125598
91038709,91125630
91037507,91125405
91037607,91125517
91037644,91125549
91038669,91125582
91038684,91125602
91038706,91126238
91037521,91126136
91037621,91125527
91037646,91125553
91038679,91125594
91038705,91125623
91038725,91125644
91038740,91125663
91037518,91126134
91037518,91126132
91037574,91125489
91037565,91125475
91038270,91126218
91038275,91126223
91038274,91126223
91038278,91126223
91038276,91126223
91038279,91126223
91038277,91126223
91038293,91125597
91038313,91126243
91037567,91125479
91526936,91619111
91037544,91125442
91038237,91126186
91038251,91126204
91038294,91126227
91038312,91126242
91037512,91125415
91038230,91125488
91038219,91125464
91037603,91125512
91038282,91126226
91038310,91126240
91038216,91126165
91038245,91126195
91038261,91126210
91038284,91126225
91038281,91126225
91038285,91126225
91038283,91126225
91038286,91126225
91038290,91126225
91038288,91126225
91038287,91126225
91038314,91126244
91038328,91126255
91038189,91126137
91038231,91126178
91038188,91126133
95074352,95177267
98481104,98579115
91527009,91619169
91527955,91619120
91527957,91619018
91527986,91619141
91527953,91619015
91957102,92051396
91526989,91619094
91526944,91619125
91527972,91619033
91527979,91619045
91526972,91619143
91526985,91619085
91528021,91619153
91528030,91620109
91528034,91620115
91527988,91619142
91527000,91620113
91528048,91620128
91526950,91619130
91527012,91619172
91957781,92051378
91526957,91619134
91527002,91620116
91528035,91620116
91526973,91619063
91526987,91619152
91957777,92050437
91526959,91619041
91526997,91620112
91526947,91619126
91526947,91619127
91527965,91619123
91527963,91619124
91528013,91619092
91528012,91619089
91528012,91619088
91528014,91619087
91526998,91619158
91526943,91619118
91527976,91619136
92412214,92509435
91528050,91620130
91526968,91619051
91528036,91620119
91526954,91619035
91528047,91619168
91526974,91619145
91527956,91619016
91528019,91619099
91528019,91619097
91526992,91619098
91527989,91619060
91528033,91620114
93506822,93613166
93506817,93613157
92412213,92508067
92410649,92509433
91957865,92051452
91957972,92050684
91957871,92050548
91957162,92050549
91957872,92050549
91957907,92050603
91958003,92050709
91957837,92050512
91957140,92051428
91957840,92050522
91957870,92050544
91957190,92050598
91957994,92050704
91957842,92050523
91957879,92050562
91957959,92050670
91957976,92051503
91957918,92050623
91957944,92050656
91957232,92050686
91957974,92050686
91957173,92051460
91957198,92050614
91957198,92050615
91957943,92050657
91957833,92050507
91957238,92051514
91957229,92050681
91957170,92050559
91957170,92050561
91957170,92050560
91957197,92051469
91957219,92050655
91957205,92051474
92412221,92508075
