arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
25140236,86471526,1,A00000154548,2016-09-03 00:00:00,2,N,22,5,24,M,1,2,R,,,,24,0
25140980,86471236,1,A00000154848,2016-09-18 00:00:00,2,N,44,5,19,M,1,2,R,,,,19,0
25804223,87430809,1,A00000155625,2016-12-05 00:00:00,2,N,41,5,22,M,1,2,R,,,,22,0
25448626,87430813,1,A00000156030,2016-11-08 00:00:00,3,N,23,5,20,M,1,2,R,,,,20,0
25448645,87004593,1,A00000156081,2016-11-10 00:00:00,3,N,16,5,31,F,1,2,N,,,,31,0
25306786,87005542,1,A00000155099,2016-09-30 00:00:00,1,N,16,5,52,M,1,2,N,,,,52,0
25306788,87005542,2,A00000155100,2016-09-30 00:00:00,1,N,16,5,41,F,1,2,N,,,,41,0
25803387,88604838,1,A00000156941,2016-12-20 00:00:00,2,N,16,5,22,M,1,2,R,,,,22,0
26622856,91056766,1,A00000159994,2016-09-28 00:00:00,2,N,21,5,17,M,1,2,R,R,,,17,0
26622858,91056766,2,A00000159962,2016-09-28 00:00:00,3,N,21,5,19,M,1,2,R,,,,19,0
26622877,90675432,1,A00000159629,2017-04-16 00:00:00,2,N,16,5,18,M,1,2,R,,,,18,0
25306802,87005557,1,A00000155284,2016-10-07 00:00:00,2,N,51,5,37,M,1,2,R,,,,37,0
25306813,87005581,1,A00000155845,2016-10-21 00:00:00,2,C,28,5,17,M,1,2,R,R,,,17,0
25448646,87004645,1,A00000155361,2016-11-21 00:00:00,2,N,10,5,25,M,2,3,R,,,,25,0
25307754,87004705,1,A00000156064,2016-10-21 00:00:00,2,N,51,5,22,F,1,2,R,,,,22,0
25306814,87004705,2,A00000156065,2016-10-21 00:00:00,2,N,51,5,23,M,1,3,R,,,,23,0
25306819,87004719,1,A00000155731,2016-10-28 00:00:00,1,N,48,5,25,F,2,2,R,,,,25,0
25307742,87004653,1,A00000155282,2016-10-08 00:00:00,2,N,51,5,25,F,1,2,R,,,,25,0
25306818,87004716,1,A00000155700,2016-10-26 00:00:00,1,N,16,5,24,M,1,2,R,,,,24,0
25306805,87004667,2,A00000155338,2016-10-11 00:00:00,1,N,48,5,20,M,2,2,R,,,,20,0
25306804,87004667,1,A00000155334,2016-10-11 00:00:00,3,N,48,5,19,M,2,2,R,,,,19,0
25307746,87004667,3,A00000155339,2016-10-11 00:00:00,1,N,28,5,19,F,1,2,R,,,,19,0
25307753,87004694,1,A00000155569,2016-10-20 00:00:00,3,N,35,5,29,F,1,2,R,,,,29,0
26269398,90016537,1,A00000158562,2016-10-19 00:00:00,2,N,16,5,40,M,2,2,R,,,,40,0
25306799,87004642,1,A00000155132,2016-10-01 00:00:00,1,N,22,5,23,M,1,2,N,,,,23,0
25448642,87430847,1,A00000155958,2016-10-12 00:00:00,2,N,51,5,55,M,1,2,R,,,,55,0
25307743,87005559,1,A00000155312,2016-10-10 00:00:00,2,N,27,5,28,M,1,2,R,,,,28,0
25307747,87005563,1,A00000155846,2016-10-31 00:00:00,2,N,51,5,15,F,1,2,R,H,,,15,0
25306816,87005582,1,A00000155672,2016-10-25 00:00:00,2,N,2,5,30,F,1,2,R,,,,30,0
25306800,87004643,1,A00000155321,2016-10-06 00:00:00,2,N,51,5,17,F,1,2,R,R,,,17,0
26023985,89283575,1,A00000158163,2016-10-19 00:00:00,2,N,48,5,19,M,1,2,R,,,,19,0
25804224,87430837,1,A00000155280,2016-12-05 00:00:00,2,N,35,5,25,M,2,2,R,,,,25,0
25803389,88605625,1,A00000155505,2016-10-18 00:00:00,3,N,16,5,25,M,1,2,R,,,,25,0
26023233,88604844,1,A00000157367,2017-01-10 00:00:00,2,N,22,5,32,M,1,2,R,,,,32,0
26023980,89283564,2,A00000156797,2016-10-15 00:00:00,2,C,16,5,18,M,1,2,N,,,,18,0
26023979,89283564,1,A00000156796,2016-10-15 00:00:00,2,C,16,5,18,M,1,2,R,,,,18,0
26622855,91056062,1,A00000160021,2016-10-02 00:00:00,3,N,21,5,26,M,1,2,N,,,,26,0
26486535,90675433,1,A00000155697,2016-10-26 00:00:00,1,N,16,5,31,F,1,2,U,,,,31,0
26706865,91337077,1,A00000157178,2016-10-26 00:00:00,2,N,23,5,51,F,1,2,R,,,,51,0
26802582,91619276,2,A00000155534,2016-10-19 00:00:00,2,N,23,5,51,F,1,2,R,,,,51,0
26802581,91619276,1,A00000155533,2016-10-19 00:00:00,2,N,23,5,24,M,1,2,R,,,,24,0
25448679,87430922,2,A00000156353,2016-11-22 00:00:00,3,N,27,5,24,M,1,2,R,,,,24,0
25448678,87430922,1,A00000156352,2016-11-22 00:00:00,3,N,27,5,18,F,1,2,R,,,,18,0
25448672,87430905,1,A00000156155,2016-11-13 00:00:00,1,N,51,5,25,F,1,2,R,,,,25,0
25447674,87430857,1,A00000155903,2016-11-21 00:00:00,3,N,51,5,28,M,1,2,R,,,,28,0
25448655,87430336,1,A00000156013,2016-11-07 00:00:00,3,N,16,5,17,M,1,2,R,R,,,17,0
26023201,89284555,1,A00000156614,2016-11-23 00:00:00,2,N,16,5,20,M,1,2,R,,,,20,0
25448665,87430348,2,A00000156092,2016-11-10 00:00:00,1,N,51,5,18,F,1,2,N,,,,18,0
25448664,87430348,1,A00000156097,2016-11-10 00:00:00,2,N,16,5,18,M,1,2,N,,,,18,0
25447687,87430358,1,A00000156156,2016-11-11 00:00:00,2,N,20,5,16,M,1,2,R,R,,,16,0
26023995,89284556,1,A00000156351,2016-11-22 00:00:00,1,N,51,5,37,M,1,2,R,,,,37,0
26023207,89284570,1,A00000156615,2016-11-15 00:00:00,2,N,5,5,17,M,1,2,R,H,,,17,0
26706859,91056765,1,A00000156164,2017-05-08 00:00:00,2,N,23,5,19,F,1,2,R,,,,19,0
26706864,91056061,1,A00000156283,2017-05-08 00:00:00,2,N,5,5,33,F,1,1,R,,,,33,0
26486719,90016541,1,A00000156824,2017-03-06 00:00:00,2,N,16,5,34,F,1,2,R,,,,34,0
26024016,89284646,1,A00000157074,2016-12-16 00:00:00,1,N,53,5,29,M,1,2,R,,,,29,0
26486534,90675429,1,A00000159459,2016-12-13 00:00:00,2,N,5,5,11,M,1,2,R,H,,,11,0
26024018,89283725,1,A00000157159,2016-12-30 00:00:00,3,N,21,5,34,M,2,2,N,,,,34,0
26706199,91056772,1,A00000158472,2017-05-01 00:00:00,2,N,41,5,35,F,2,2,U,,,,35,0
26024013,89284626,1,A00000157185,2016-12-12 00:00:00,2,N,2,5,51,M,1,2,R,,,,51,0
26802579,91619273,1,A00000156958,2016-12-19 00:00:00,1,N,21,5,17,M,1,2,R,R,,,17,0
24116060,83068561,1,AR2016-002,2016-02-04 00:00:00,3,C,4,5,40,M,1,2,R,,,,40,0
24116063,83068568,1,AR2016-004,2016-02-25 00:00:00,3,C,16,5,34,F,1,2,R,,,,34,0
24694198,83886668,2,AR2016-008,2016-06-06 00:00:00,2,C,5,5,17,M,1,2,R,R,,,17,0
24694974,83886668,1,AR2016-007,2016-06-06 00:00:00,2,C,20,5,17,M,1,2,R,R,,,17,0
24870181,84661321,1,AR2016-010,2016-07-05 00:00:00,3,C,41,5,27,M,1,2,R,,,,27,0
24868114,85621557,1,AR2016-011,2016-07-16 00:00:00,3,C,43,5,38,M,1,2,R,,,,38,0
25002529,86039586,1,AR2016-019,2016-08-28 00:00:00,1,C,49,5,18,M,2,2,N,,,,18,0
