agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
16607,83458107,7289283,I00000433330,,2017-11-06 00:00:00,2016-02-26 00:00:00,,21,6,,0,C,2016_02_PA0363900_I00000433330_INC,F,,2455414
16607,83458524,7289283,I00000433022,,2017-11-06 00:00:00,2016-02-19 00:00:00,,18,6,,0,C,2016_02_PA0363900_I00000433022_INC,F,,2455361
16607,83458101,7289283,I00000433048,,2017-11-06 00:00:00,2016-02-19 00:00:00,,19,6,,0,C,2016_02_PA0363900_I00000433048_INC,F,,2455395
16607,83458518,7289283,I00000432402,,2017-11-06 00:00:00,2016-02-04 00:00:00,,14,6,,0,C,2016_02_PA0363900_I00000432402_INC,F,,2455339
16607,83458522,7289283,I00000433017,,2017-11-06 00:00:00,2016-02-19 00:00:00,,19,6,,0,C,2016_02_PA0363900_I00000433017_INC,F,,2456039
16607,83886703,7315874,I00000434111,,2017-11-06 00:00:00,2016-03-18 00:00:00,,1,6,,0,C,2016_03_PA0363900_I00000434111_INC,F,,3484996
16607,83886701,7315874,I00000434655,,2017-11-06 00:00:00,2016-03-29 00:00:00,,14,6,,0,C,2016_03_PA0363900_I00000434655_INC,F,,3485001
16607,83887602,7315874,I00000434199,,2017-11-06 00:00:00,2016-03-19 00:00:00,,22,6,,0,C,2016_03_PA0363900_I00000434199_INC,F,,3484998
16607,83886702,7315874,I00000434394,,2017-11-06 00:00:00,2016-03-24 00:00:00,,19,6,,0,C,2016_03_PA0363900_I00000434394_INC,F,,3483766
16607,83886704,7315874,I00000434268,,2017-11-06 00:00:00,2016-03-19 00:00:00,,9,6,,0,C,2016_03_PA0363900_I00000434268_INC,F,,3485003
16607,84661433,7315874,I00000437198,,2017-11-06 00:00:00,2016-03-01 00:00:00,,12,6,,0,C,2016_03_PA0363900_I00000437198_INC,F,,5228255
16607,83887600,7315874,I00000433904,,2017-11-06 00:00:00,2016-03-13 00:00:00,,12,6,,0,C,2016_03_PA0363900_I00000433904_INC,F,,3485000
16607,86039616,7315874,I00000439918,,2017-11-06 00:00:00,2016-03-12 00:00:00,,15,6,,0,C,2016_03_PA0363900_I00000439918_INC,F,,7995258
16607,84662922,7358936,I00000435270,,2017-11-06 00:00:00,2016-04-08 00:00:00,,14,6,,0,C,2016_04_PA0363900_I00000435270_INC,F,,5228260
16607,84662917,7358936,I00000435190,,2017-11-06 00:00:00,2016-04-11 00:00:00,,22,6,,0,C,2016_04_PA0363900_I00000435190_INC,F,,5227729
16607,84661429,7358936,I00000435001,,2017-11-06 00:00:00,2016-04-07 00:00:00,,10,6,,0,C,2016_04_PA0363900_I00000435001_INC,F,,5228257
16607,84661436,7358936,I00000435705,,2017-11-06 00:00:00,2016-04-23 00:00:00,,17,6,,0,C,2016_04_PA0363900_I00000435705_INC,F,,5228270
16607,84662956,7358938,I00000437141,,2017-11-06 00:00:00,2016-05-27 00:00:00,,20,6,,0,C,2016_05_PA0363900_I00000437141_INC,F,,5228322
16607,84661460,7358938,I00000436881,,2017-11-06 00:00:00,2016-05-22 00:00:00,,16,6,,0,C,2016_05_PA0363900_I00000436881_INC,F,,5227768
16607,84662935,7358938,I00000436475,,2017-11-06 00:00:00,2016-05-09 00:00:00,,14,6,,0,C,2016_05_PA0363900_I00000436475_INC,F,,5228285
16607,84661489,7358938,I00000437249,,2017-11-06 00:00:00,2016-05-31 00:00:00,,3,6,,0,C,2016_05_PA0363900_I00000437249_INC,F,,5228323
16607,84662942,7358938,I00000436863,,2017-11-06 00:00:00,2016-05-22 00:00:00,,2,6,,0,C,2016_05_PA0363900_I00000436863_INC,F,,5228293
16607,84661478,7358938,I00000437086,,2017-11-06 00:00:00,2016-05-26 00:00:00,,17,6,,0,C,2016_05_PA0363900_I00000437086_INC,F,,5227785
16607,84661450,7358938,I00000436555,,2017-11-06 00:00:00,2016-05-05 00:00:00,,12,6,,0,C,2016_05_PA0363900_I00000436555_INC,F,,5228287
16607,85116256,7358938,I00000436935,,2017-11-06 00:00:00,2016-05-23 00:00:00,,23,6,,0,C,2016_05_PA0363900_I00000436935_INC,F,,6178536
16607,84661456,7358938,I00000436739,,2017-11-06 00:00:00,2016-05-19 00:00:00,,1,6,,0,C,2016_05_PA0363900_I00000436739_INC,F,,5227763
16607,84661452,7358938,I00000436617,,2017-11-06 00:00:00,2016-05-14 00:00:00,,12,6,,0,C,2016_05_PA0363900_I00000436617_INC,F,,5228288
16607,84662940,7358938,I00000436838,,2017-11-06 00:00:00,2016-05-21 00:00:00,,5,6,,0,C,2016_05_PA0363900_I00000436838_INC,F,,5228291
16607,84661483,7358938,I00000437093,,2017-11-06 00:00:00,2016-05-26 00:00:00,,17,6,,0,C,2016_05_PA0363900_I00000437093_INC,F,,5227789
16607,84661437,7358938,I00000436327,,2017-11-06 00:00:00,2016-05-07 00:00:00,,12,6,,0,C,2016_05_PA0363900_I00000436327_INC,F,,5227736
16607,84661488,7358938,I00000437283,,2017-11-06 00:00:00,2016-05-22 00:00:00,,16,6,,0,C,2016_05_PA0363900_I00000437283_INC,F,,5227794
