suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
4,96794996,1000,9,7074160
5,97918075,1000,9,7243769
5,97193862,3000,1,7132175
5,97194710,1000,1,7132181
4,97919501,50000,1,7244922
5,97193928,1000,1,7132188
5,103762932,5000,1,8056501
5,97545911,1000,1,7184453
5,97545826,1000,9,7183899
5,97545831,1000,9,7184430
8,97545761,1000,9,7183887
5,97545822,1000,1,7183898
4,98338785,1000,1,7308337
1,99190250,1000,9,7424787
4,97920243,1000,1,7243798
4,97918139,1000,9,7243780
4,100453161,,,7593180
8,97918149,1000,1,7243782
4,98338884,1000,9,7307433
4,98339895,1000,9,7308360
5,98339895,1000,1,7308361
5,98338873,2000,1,7307431
1,98339888,1000,1,7308359
8,98338883,1000,9,7308364
2,98338883,1000,9,7308363
4,103762915,1000,9,8056499
1,100453787,1000,1,7591898
5,98804016,14400,3,7371952
4,98804008,10000,9,7371950
5,98809899,1000,9,7371958
5,98809892,1000,1,7372842
4,100454193,,,7593183
5,100453790,2000,9,7593184
16,99189928,3000,9,7424797
4,99189903,10000,9,7423817
4,99189952,1000,1,7423831
4,99190380,8000,9,7423835
4,99190405,1000,9,7424811
5,99189887,21000,1,7423812
4,99190391,28000,9,7424806
5,99581132,1000,9,7476820
4,99581111,1000,9,7477312
15,100062601,1000,9,7538184
4,100061934,4000,9,7538431
4,100061908,10000,9,7538427
5,100454342,1000,1,7591909
5,100453913,7000,1,7593219
4,100454367,1000,11,7593213
5,100453864,3000,1,7591908
4,100454292,1000,9,7593192
5,100453918,1000,9,7591915
5,100453899,1000,1,7593216
5,102811622,92000,1,7913539
7,102144058,50000,9,7813135
4,101516570,20000,9,7730822
16,101515705,1000,9,7730803
5,101516641,1000,3,7729986
1,101516487,10000,9,7729957
5,101516578,8000,1,7729970
4,101516528,10000,9,7730808
4,103764023,1000,1,8056505
5,103762941,1000,1,8056502
5,103762947,5000,1,8056503
5,97194689,1000,1,7133189
5,97194705,1000,1,7132180
16,97193860,2000,9,7132174
5,103762867,1000,1,8055947
4,101516483,1000,9,7729956
5,97544567,1000,1,7184414
4,99189890,4000,9,7423814
5,100062522,21000,1,7538419
5,97919523,1000,1,7244926
4,98339860,1000,9,7307429
5,98804040,1000,1,7372843
4,98804045,4000,9,7372846
4,98804026,13000,9,7371953
5,99189929,25000,1,7423825
5,100062524,1000,1,7538172
5,100061904,1000,1,7538424
5,103763954,1000,1,8055943
5,101515735,1000,1,7730806
5,96434473,100,1,7022695
5,96434474,8000,1,7022697
4,96795056,5000,9,7074611
5,96795251,1000,1,7074161
5,97545774,1000,1,7184419
5,97544598,2400,1,7184422
5,97545751,1000,1,7183885
5,97545790,3200,1,7183892
3,97545769,1000,1,7184416
5,97918047,2000,1,7243760
5,97544627,30000,1,7184427
5,97918062,3200,1,7243766
5,97545820,1000,1,7183897
5,97918057,1000,1,7243763
5,97545808,1000,1,7183895
5,97918115,1000,1,7244925
5,97918086,200,1,7243771
5,98809883,300,3,7372839
5,98803996,1000,1,7371947
