property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
99581668,3,300,,96461251
99582244,63,20,,96461261
99581687,3,1,,96461273
99581707,3,1,,96461298
99581720,3,15000,,96461312
99581745,63,200,,96461340
99582233,6,14,,96461245
99581669,30,2,,96461253
99581678,19,1,,96461264
99581686,3,1,,96461272
99582255,3,1,,96460830
99582257,3,1,,96460832
99581718,38,1,,96461311
99582261,61,5,2016-09-19 00:00:00,96461321
99582261,25,40,2016-09-19 00:00:00,96461320
99581727,25,40,,96460837
99581727,61,5,,96461322
99582266,16,35,,96460842
99582234,17,3000,,96460812
99581672,63,10,,96461257
99582247,63,5,,96460821
99582250,3,1,,96460824
99582259,11,1,,96460835
99582259,10,,,96460834
99581737,4,79,,96461334
99581736,4,79,2016-09-24 00:00:00,96461333
99582265,41,20,,96460841
99581680,20,100,,96461266
99582252,3,1,,96460826
99582256,20,3,,96460831
99582263,31,980,,96460839
99581748,63,5,,96461343
99582237,20,900,,96460813
99582246,36,230,,96460820
99582249,3,1,,96460823
99582258,11,1,,96460833
99582262,10,,,96460838
100062699,11,1,,97086280
100062699,10,,,97086279
99582236,11,1,,96461252
99582240,20,200,,96460815
99582242,3,10000,,96460817
99582248,63,30,,96460822
99582248,17,60,,96461269
99582254,25,20,,96460829
99582253,3,150,,96460828
99582260,63,100,,96460836
99581729,20,200,,96461324
99581729,25,40,,96461326
100454334,20,227,,97596087
100453874,8,1,,97596096
100062703,63,1,,97086283
100454339,63,300,,97596094
100062718,20,300,,97086300
100062724,20,1,,97086304
100062726,10,,,97086305
101516675,63,1,,98974179
101516675,7,1,,98974176
101516675,10,,,98974178
103762921,3,2000,,101872841
103411368,11,1,,101413380
103411368,10,,,101413379
102144844,63,1,,99783806
100062002,63,30,,97085096
100062780,63,20,,97085105
100062794,63,30,,97086376
100062016,63,50,,97087114
100062819,63,1,2016-10-21 00:00:00,97086404
100062030,26,350,,97086414
100062031,38,240,,97087128
100062035,42,150,,97087132
100062752,10,,,97086332
100062781,20,697,,97086363
100062835,20,20,,97086419
100062834,11,1,,97086418
100062749,3,2000,,97086330
100062811,63,1,,97086392
100062826,63,100,,97086410
100062831,10,,,97086415
100062032,63,1,,97087129
100062765,3,900,,97086349
100062007,63,150,,97085102
100062791,42,100,,97086373
100062813,63,75,,97086395
100062813,20,4,,97086394
100062822,13,360,,97086406
100062838,3,500,,97086421
100062829,63,300,,97086413
100062766,3,150,,97086350
100062009,10,,,97085104
100062008,13,1,2016-10-11 00:00:00,97085103
100062795,20,30,,97087109
100062027,63,5,,97087125
100062809,4,250,,97086390
100062821,63,100,,97086405
100062751,20,15,,97086333
100062790,3,200,,97086372
100062019,11,1,,97086396
102811746,10,,,100649501
102811746,11,20,,100648757
100062750,56,100,,97086331
100062771,20,357,,97086354
100062778,6,100,,97086361
100062012,63,100,,97085107
100062824,20,5,,97086408
102144835,10,,,99783797
100062004,63,70,,97085098
102145278,61,360,,99784336
102145278,63,107,,99784337
102145278,20,211,,99783808
102145278,25,175,,99783811
100454356,11,10,,97597115
101516676,10,,,98974184
101515885,11,1,,98974186
102144838,10,,,99784313
103763998,3,1000,,101873321
