nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6993649,16655,5,2015,U,,,N,F,,C,2015_05_PA0381200_NIBRS,
6969443,16655,11,2015,U,,,N,F,,C,2015_11_PA0381200_NIBRS,
7040872,16655,4,2015,U,,,N,F,,C,2015_04_PA0381200_NIBRS,
7029069,16655,7,2015,U,,,N,F,,C,2015_07_PA0381200_NIBRS,
6812623,16656,6,2015,U,,,N,F,,C,2015_06_PA0381300_NIBRS,
6884276,16656,11,2015,U,,,N,F,,C,2015_11_PA0381300_NIBRS,
6866784,16656,7,2015,U,,,N,F,,C,2015_07_PA0381300_NIBRS,
6824314,16656,3,2015,U,,,N,F,,C,2015_03_PA0381300_NIBRS,
6830383,16656,12,2015,U,,,N,F,,C,2015_12_PA0381300_NIBRS,
6833274,16656,4,2015,U,,,N,F,,C,2015_04_PA0381300_NIBRS,
6851821,16656,5,2015,U,,,N,F,,C,2015_05_PA0381300_NIBRS,
6903012,16656,2,2015,U,,,N,F,,C,2015_02_PA0381300_NIBRS,
6998713,16656,10,2015,U,,,N,F,,C,2015_10_PA0381300_NIBRS,
6991618,16656,1,2015,U,,,N,F,,C,2015_01_PA0381300_NIBRS,
6996496,16656,9,2015,U,,,N,F,,C,2015_09_PA0381300_NIBRS,
7041424,16656,8,2015,U,,,N,F,,C,2015_08_PA0381300_NIBRS,
6808134,15907,7,2015,U,,,N,F,,C,2015_07_PA0062000_NIBRS,
6809134,15907,1,2015,U,,,N,F,,C,2015_01_PA0062000_NIBRS,
6872880,15907,12,2015,U,,,N,F,,C,2015_12_PA0062000_NIBRS,
6869070,15907,11,2015,U,,,N,F,,C,2015_11_PA0062000_NIBRS,
6859846,15907,2,2015,U,,,N,F,,C,2015_02_PA0062000_NIBRS,
6833747,15907,9,2015,U,,,N,F,,C,2015_09_PA0062000_NIBRS,
6908664,15907,6,2015,U,,,N,F,,C,2015_06_PA0062000_NIBRS,
6904914,15907,8,2015,U,,,N,F,,C,2015_08_PA0062000_NIBRS,
6928615,15907,3,2015,U,,,N,F,,C,2015_03_PA0062000_NIBRS,
6991386,15907,5,2015,U,,,N,F,,C,2015_05_PA0062000_NIBRS,
6988304,15907,10,2015,U,,,N,F,,C,2015_10_PA0062000_NIBRS,
6965041,15907,4,2015,U,,,N,F,,C,2015_04_PA0062000_NIBRS,
6812619,15908,10,2015,U,,,N,F,,C,2015_10_PA0062100_NIBRS,
6799774,15908,7,2015,U,,,N,F,,C,2015_07_PA0062100_NIBRS,
6865082,15908,3,2015,U,,,N,F,,C,2015_03_PA0062100_NIBRS,
6841016,15908,1,2015,U,,,N,F,,C,2015_01_PA0062100_NIBRS,
6845576,15908,2,2015,U,,,N,F,,C,2015_02_PA0062100_NIBRS,
6839648,15908,4,2015,U,,,N,F,,C,2015_04_PA0062100_NIBRS,
6894920,15908,12,2015,U,,,N,F,,C,2015_12_PA0062100_NIBRS,
6952398,15908,8,2015,U,,,N,F,,C,2015_08_PA0062100_NIBRS,
7001221,15908,11,2015,U,,,N,F,,C,2015_11_PA0062100_NIBRS,
7007321,15908,5,2015,U,,,N,F,,C,2015_05_PA0062100_NIBRS,
7011984,15908,9,2015,U,,,N,F,,C,2015_09_PA0062100_NIBRS,
7032318,15908,6,2015,U,,,N,F,,C,2015_06_PA0062100_NIBRS,
6790657,16103,6,2015,U,,,N,F,,C,2015_06_PA0116100_NIBRS,
6848217,16103,11,2015,U,,,N,F,,C,2015_11_PA0116100_NIBRS,
6834293,16103,8,2015,U,,,N,F,,C,2015_08_PA0116100_NIBRS,
