arrestee_id,weapon_id,nibrs_arrestee_weapon_id
24485352,1,24505088
24485350,1,24505086
24485342,1,24505077
24485262,1,24505002
24485103,1,24504848
24485663,1,24505757
24485196,1,24504933
24484586,1,24504684
24484585,1,24504682
24485195,1,24504932
24485465,1,24505199
24485080,1,24504822
24485177,1,24504920
24485265,1,24505006
24485520,1,24505253
24485286,1,24505774
24484528,1,24504620
24485045,3,24504785
24485755,1,24505854
24485531,1,24505265
24485197,1,24504934
24485776,1,24505119
24485321,1,24505819
24485845,1,24505946
24485298,1,24505039
24485815,1,24505911
24485343,1,24505079
24485345,1,24505081
24485308,1,24505047
24485449,1,24505188
24485447,1,24505187
24484493,1,24504584
24485153,1,24504897
24485458,1,24505194
24485315,1,24505053
24485511,1,24505243
24485349,1,24505085
24485200,1,24504937
24639044,1,24658328
24639043,1,24659150
24638452,1,24658332
24958062,1,24978243
24958061,1,24978242
24959198,1,24979340
24638449,1,24658329
24959710,1,24979871
24797708,1,24817581
24797795,8,24817666
26941646,1,26964385
24638402,1,24658276
24638408,1,24658283
24638410,1,24658285
24639061,1,24659166
24639071,1,24659178
24638463,1,24658345
24639072,1,24659179
24638503,1,24659183
24797705,3,24817783
24638520,1,24658398
24797691,1,24817561
24639019,1,24659132
24638500,1,24658379
24638396,1,24658270
24638996,1,24659107
24797763,2,24817637
24638980,1,24658237
24638409,1,24658284
24797525,1,24817786
24639116,1,24658433
24639137,1,24659250
24638585,1,24658459
24638586,1,24658460
24638341,1,24658213
24638338,4,24659076
24638339,7,24658211
24638389,1,24658263
24638493,1,24658372
24638446,1,24658323
24638461,1,24658342
24638573,1,24658446
24638975,1,24659087
24639005,1,24658262
24639014,1,24659127
24639120,1,24659232
24638340,1,24658212
24797683,1,24817775
24797689,1,24817560
24797695,1,24817565
24797504,1,24817766
24639002,1,24658260
24638414,1,24658289
24638415,1,24658290
24639067,3,24659174
24639066,3,24658380
24638530,1,24658404
24639112,1,24659225
24797919,7,24818784
24797792,1,24817663
24797596,5,24817859
24797614,7,24817879
24797826,1,24817696
24797825,1,24817695
24797945,1,24818810
24798856,3,24818129
24797817,1,24817686
24797583,1,24817847
24797924,1,24817973
24797992,1,24818058
24797730,1,24817603
24797738,1,24817611
24798039,7,24818900
24797804,1,24817674
24797864,1,24818734
24798765,1,24818037
24797920,1,24818783
24797921,1,24818785
24797577,1,24817842
24798855,1,24818916
24797547,1,24817810
24797747,1,24817807
24797748,1,24817620
24798732,1,24818003
24798843,1,24818117
24797534,1,24817796
24798772,4,24818046
24798772,5,24818047
24797739,1,24817612
24797976,1,24818837
24958382,1,24978551
24797604,1,24817675
24797878,1,24818746
24797926,1,24818789
24797742,1,24817615
24797827,1,24817888
24957559,1,24977685
24957561,1,24977687
24959087,1,24979231
24959228,1,24979370
24959009,1,24979146
24959007,1,24979144
24958771,1,24978900
24958896,1,24979028
24959256,3,24979399
