agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
17643,SC018NR00,SC018NR00,Department of Natural Resources: Dorchester County,Department of Natural Resources: Dorchester County,6,Other State Agency,,,,,45,SC,2424,Dorchester,45035,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2015,0,9E,MSA State Police,L,Y,N,12,12,6,,,,2016,4,0,29201,33.082186,-80.404697
17852,SC0370400,SC0370400,West Union Police Department,West Union,1,City,,,9840,West Union,45,SC,2443,Oconee,45073,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2009,312,7,"Cities under 2,500",L,N,N,12,12,8,,,,2016,2,0,29696,34.748758,-83.061522
17909,SC040NR00,SC040NR00,Department of Natural Resources: Richland County,Department of Natural Resources: Richland County,6,Other State Agency,,,,,45,SC,2446,Richland,45079,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2014,0,9E,MSA State Police,L,Y,N,12,12,7,,,,2016,44,40,29201,34.029783,-80.896566
17810,SC032SP00,SC032SP00,Highway Patrol: Lexington County,Highway Patrol: Lexington County,4,State Police,,,,,45,SC,2438,Lexington,45063,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,9,,,,2016,30,0,29201,33.892556,-81.272851
17666,SC0210400,SC0210400,Johnsonville Police Department,Johnsonville,1,City,,,9738,Johnsonville,45,SC,2427,Florence,45041,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,1515,7,"Cities under 2,500",L,Y,N,12,12,9,,,,2016,5,1,29555,34.028535,-79.710233
17574,SC011NR00,SC011NR00,Department of Natural Resources: Cherokee County,Department of Natural Resources: Cherokee County,6,Other State Agency,,,,,45,SC,2417,Cherokee,45021,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2015,0,8E,Non-MSA State Police,L,N,N,12,12,6,,,,2016,4,0,29201,35.049796,-81.607647
17947,SC0432600,SC0432600,State Transport Police: Sumter County,State Transport Police: Sumter County,6,Other State Agency,,,,,45,SC,2449,Sumter,45085,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,1,0,29016,33.916046,-80.382472
17979,SC0462600,SC0462600,State Transport Police: York County,State Transport Police: York County,6,Other State Agency,,,,,45,SC,2452,York,45091,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,7,0,29016,34.97019,-81.183188
17480,SC0040000,SC0040000,Anderson County Sheriff's Office,Anderson,2,County,,,,,45,SC,2410,Anderson,45007,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,152973,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,220,170,29625,34.519549,-82.638086
17502,SC0052600,SC0052600,State Transport Police: Bamberg County,State Transport Police: Bamberg County,6,Other State Agency,,,,,45,SC,2411,Bamberg,45009,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,7,,,,2013,15,0,29016,33.203021,-81.053161
17460,SC0020700,SC0020700,Salley Police Department,Salley,1,City,,,9807,Salley,45,SC,2408,Aiken,45003,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,,418,7,"Cities under 2,500",L,Y,N,6,6,6,,,,2016,1,0,29137,33.550013,-81.632983
17815,SC033FC00,SC033FC00,Forestry Commission: McCormick County,Forestry Commission: McCormick County,6,Other State Agency,,,,,45,SC,2441,Mccormick,45065,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2014,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,,,,29221,33.897605,-82.316192
17850,SC0370200,SC0370200,Walhalla Police Department,Walhalla,1,City,,,9834,Walhalla,45,SC,2443,Oconee,45073,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1996,4213,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,13,1,29691,34.748758,-83.061522
17768,SC0300000,SC0300000,Laurens County Sheriff's Office,Laurens,2,County,,,,,45,SC,2436,Laurens,45059,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,47081,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,12,12,10,,,,2016,63,7,29360,34.483477,-82.005657
17721,SC0252600,SC0252600,State Transport Police: Hampton County,State Transport Police: Hampton County,6,Other State Agency,,,,,45,SC,2431,Hampton,45049,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,6,,,,2016,1,0,29016,32.778323,-81.143362
17962,SC0450100,SC0450100,Hemingway Police Department,Hemingway,1,City,,,9727,Hemingway,45,SC,2451,Williamsburg,45089,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,428,7,"Cities under 2,500",L,N,N,12,12,9,,,,2016,3,1,29554,33.626463,-79.716475
17891,SC0400000,SC0400000,Richland County Sheriff's Office,Richland,2,County,,,,,45,SC,2446,Richland,45079,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,256332,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,493,104,29223,34.029783,-80.896566
17866,SC0380700,SC0380700,Holly Hill Police Department,Holly Hill,1,City,,,9729,Holly Hill,45,SC,2444,Orangeburg,45075,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2002,1243,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,6,0,29059,33.436135,-80.802913
