victim_id,offender_id,relationship_id,nibrs_victim_offender_id
92741745,95794202,1,28004639
92741745,95794199,1,28004636
92741745,95794201,1,28004638
92742680,95794674,9,28005496
92741334,95794010,16,28004598
92741537,95794415,16,28005456
92741537,95794414,16,28005454
92741541,95794414,16,28005457
92741541,95794415,16,28005458
92742007,95794453,18,28004730
92741593,95795256,1,28004773
92741593,95795254,15,28004772
92741593,95795257,1,28004774
92741593,95795261,1,28004775
92741593,95795265,25,28004776
92741593,95794547,15,28004771
92742126,95794547,25,28004777
92742126,95795254,15,28004778
92742126,95795261,1,28004781
92742126,95795256,1,28004779
92742126,95795265,15,28004782
92742126,95795257,1,28004780
92742113,95795257,1,28005477
92742113,95795254,16,28004759
92742113,95795261,15,28004761
92742113,95794547,16,28005476
92742113,95795256,25,28004760
92742113,95795265,16,28004763
92742109,95795257,25,28004757
92742109,95795254,16,28004755
92742109,95795261,1,28005473
92742109,95795265,16,28004758
92742109,95795256,1,28004756
92742109,95794547,16,28004754
92742119,95794547,16,28004765
92742119,95795254,16,28004766
92742119,95795256,1,28004767
92742119,95795257,1,28004768
92742119,95795261,25,28004769
92742119,95795265,16,28004770
92742132,95795265,15,28004788
92742132,95795256,1,28004785
92742132,95795254,25,28004784
92742132,95795257,1,28004786
92742132,95794547,15,28004783
92742132,95795261,1,28004787
92741773,95794237,1,28004648
92741773,95795101,1,28004649
92741947,95794397,1,28004714
92741337,95794013,15,28004396
92741714,95795062,1,28004616
92741714,95795064,1,28004618
92741714,95795063,1,28004617
92741721,95795062,1,28004623
92741721,95795064,1,28004625
92741721,95795063,1,28004624
92741718,95795062,1,28004619
92741718,95795064,1,28004621
92741718,95795063,1,28004620
92742238,95794689,1,28004808
92741948,95794393,3,28004713
92741950,95794393,20,28004715
92741488,95794336,24,28004688
92741675,95794147,5,28004600
92741674,95794147,21,28004599
94101971,97178545,24,28435384
94101971,97178543,24,28435383
92741733,95794179,18,28004418
92741733,95795068,18,28004419
92741733,95795066,18,28004417
92741735,95795066,18,28004631
92741735,95795068,18,28004633
92741735,95794179,18,28004632
92741607,95795289,19,28004790
93259984,96325419,24,28169256
92741428,95795116,16,28005436
92741389,95795075,17,28004421
102069532,105266249,21,30907892
93260652,96327052,4,28170483
93260742,96326516,3,28169350
93260560,96326820,1,28169625
93259599,96325504,1,28169298
93259599,96326302,3,28169297
93260072,96326305,1,28169440
