suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,99047466,3000,1,7406341
5,99047268,2700,1,7406313
5,99044660,7800,1,7405994
5,99045573,500,1,7406224
2,99045573,3300,1,7406223
5,99046502,1000,1,7406087
5,99044530,1000,1,7405974
5,99044677,10,1,7405996
5,99045372,500,1,7406207
5,99044921,8000,1,7406032
5,99045375,10,1,7406208
5,105687578,4000,1,8336443
8,99290185,4000,9,7438871
5,99290185,5800,1,7438870
5,99289749,3000,1,7438882
5,99289322,3500,1,7438829
5,99289606,2200,1,7439365
5,99289758,18000,1,7438884
5,99289748,5000,1,7439378
5,99290264,4000,1,7438881
5,99290292,14700,1,7438888
5,99289137,1100,1,7438863
5,99796279,3000,1,7506006
5,99796419,1000,1,7506025
5,99796513,1,1,7506036
5,99796404,4500,1,7506021
5,99795667,3500,1,7505974
5,99796403,1000,1,7506022
5,99797294,2200,1,7506748
5,99794902,2700,1,7505973
5,99796120,1500,1,7506018
5,99796389,2700,1,7506732
5,99797337,400,1,7506750
5,99796379,7800,1,7506017
5,100560753,1400,1,7609674
5,100560821,1000,1,7609685
1,100560056,500,1,7610320
2,100560056,1000,1,7610321
5,100561219,1000,1,7610332
5,100560691,1300,1,7609670
5,100560109,900,1,7610324
5,100561292,2000,1,7610342
1,100560597,10,1,7610305
8,100560597,7000,9,7610306
5,100561254,50,1,7610340
5,100559810,6,1,7610283
5,101742499,700,1,7766660
8,101742030,1000,9,7766646
5,102671665,5200,1,7885687
5,101742048,3100,1,7766650
5,101742066,2500,1,7765927
5,101741645,1,1,7765870
5,102669986,54800,1,7884969
5,102671858,2100,1,7885151
5,102671869,4500,1,7885731
16,102671869,700,1,7885732
5,102671884,6200,1,7885738
1,102671884,2200,1,7885737
5,102670863,1000,1,7885159
5,102671835,31400,1,7885720
5,102671913,2000,1,7885158
5,102672001,1900,1,7885758
5,105145953,500,1,8252072
5,104657332,10200,1,8180952
5,105146252,8000,1,8253007
5,105146253,800,1,8253008
5,98191914,200,1,7285960
5,98611425,358,3,7347904
5,100560065,1,5,7610322
5,99794952,6800,1,7505976
5,98192346,5000,1,7286545
5,101742255,2000,1,7766619
5,102669826,1000,1,7885477
5,97789471,1100,1,7222849
5,97065404,5200,1,7117454
5,97065145,7400,1,7116802
5,97065399,9099,1,7116800
5,97789074,1000,1,7222850
5,97789072,4000,1,7223354
5,98192421,2799,1,7286554
5,98611713,27000,1,7348776
8,98611703,137000,9,7347932
5,98611700,8099,1,7348775
5,99045716,3000,1,7406241
5,99795043,4000,1,7505986
5,99795044,100,1,7506690
5,100561289,1199,1,7610341
5,101742131,1000,1,7765937
5,102668901,2000,1,7884903
5,96601925,1000,1,7046973
5,96601876,5000,1,7047882
5,96602643,500,1,7047889
5,96602266,2500,1,7047837
5,96602019,1700,1,7047901
8,96601763,28000,9,7046955
5,96601713,10,1,7046948
5,105563021,1000,1,8316193
5,97065906,2000,1,7116873
5,97066835,5000,1,7117572
5,98613833,5000,1,7348884
5,97067151,4500,1,7117632
5,97068390,1000,1,7117677
5,97068475,5000,1,7116993
5,97066999,1,1,7117606
5,97067078,250000,1,7117613
5,98614576,1500,1,7348070
5,99797195,10300,1,7506735
5,97789939,1000,1,7222913
5,97790814,600,1,7223448
5,97790106,10700,1,7222933
2,97790904,4700,1,7223469
5,97792821,1000,1,7223654
5,97792012,9100,1,7223104
5,97789846,1000,1,7222897
5,97792031,8600,1,7223113
5,97791211,1500,1,7222953
5,97791925,6,1,7223090
16,97791868,3111,3,7223083
5,97791420,15100,1,7222983
12,97790975,900,1,7222949
8,97790975,1000,9,7222950
5,97789848,7000,1,7222898
5,97791994,16000,1,7223100
5,97791991,1000,1,7223644
5,97791369,8300,1,7222975
16,97792436,9040,1,7223035
5,97791812,48,4,7223075
5,97794385,27500,1,7223739
5,97794286,100,1,7223728
5,97793596,4600,1,7224211
1,97793695,12000,1,7224223
16,97793661,12000,9,7224219
12,97795286,1000,9,7224296
12,97793874,1800,1,7224245
5,99290505,2000,1,7438916
5,98193687,4000,1,7286660
16,98614646,7000,9,7348899
8,98613912,34000,9,7348081
5,98193124,2000,1,7286629
5,98194181,1000,1,7286642
12,98194640,1000,9,7286698
5,98194790,2000,1,7286718
5,98194711,12000,1,7286097
5,98194237,4700,1,7286648
5,98194648,500,1,7286090
5,105563425,500,1,8316422
5,98613997,1000,1,7348087
5,98615254,8000,1,7348116
5,98615396,44,1,7348133
5,98615769,1900,1,7348178
1,98615006,11000,1,7348123
2,98615006,26000,1,7348124
12,98616180,2,1,7348961
5,98615410,7800,1,7348135
5,98615493,1000,1,7348145
5,98615884,1000,1,7348189
5,99797298,3500,1,7506043
16,101743489,3000,9,7765982
5,99048664,500,1,7407204
1,99047358,800,1,7406328
4,99051720,600,1,7406555
5,99047393,2300,1,7406333
5,99051383,2000,10,7406529
5,99046917,4700,1,7406134
5,99048027,2000,1,7406393
5,99049285,1000,1,7406422
12,99047903,1000,1,7406377
12,99047689,4000,1,7406364
5,99051426,2000,10,7406535
5,99050490,8000,10,7407293
5,99046517,1000,1,7406089
5,99046684,3800,1,7406104
5,99050121,900,1,7406497
5,99046363,5700,1,7406075
5,100561022,14000,1,7609725
1,101743497,200,1,7766701
5,101743492,1000,1,7765983
8,104659300,7000,1,8181081
5,105563062,11000,1,8316393
5,105563878,2000,1,8316489
5,99292200,,,7439461
5,99292474,3000,1,7438996
5,99291519,1000,1,7439442
5,99292195,1000,1,7438961
5,99292164,250,1,7439014
12,99293318,900,1,7439502
5,99290764,800,1,7438935
2,99293231,300,1,7439497
15,99290788,131000,9,7438937
5,99291156,7000,1,7439458
5,105563431,1000,1,8316423
12,99797037,10,1,7506096
1,99797735,500,1,7506792
5,99796743,10,1,7506066
5,100561571,64000,1,7610391
5,99796638,1000,1,7506052
5,99796854,1000,1,7506081
5,99798491,2700,1,7506877
2,99798407,40000,1,7506137
12,100561639,1000,1,7610398
5,99797378,900,1,7506754
5,99798478,4120,1,7506872
8,105563324,9000,9,8316405
12,105564303,1000,1,8317228
12,100561926,1,1,7610434
5,100562858,2000,1,7610489
8,100563418,5500,9,7610502
5,100562931,1600,1,7609817
5,100563046,4070,1,7610510
5,100561727,1000,3,7610407
5,100562219,14900,1,7610403
12,100561931,1000,1,7610436
12,104659419,700,1,8180114
5,105563574,500,1,8316440
5,101745487,1000,1,7766128
5,101746124,2000,1,7767243
5,101744903,1000,1,7766902
5,101744975,2,1,7766920
5,101747263,10,1,7767001
17,101746394,4200,1,7767002
5,101745383,5700,1,7766119
5,101744822,2500,1,7766889
5,101745921,3400,1,7767218
5,101745130,6600,1,7766952
5,101746141,3200,1,7767249
5,101747353,30000,1,7767019
5,101745298,1000,1,7766115
5,101747415,10000,1,7767026
1,101747415,2000,1,7767027
5,101743827,2200,1,7766035
14,101744344,4000,9,7766802
16,104659422,20000,9,8180115
5,104659183,500,1,8180074
5,105564396,1700,1,8317240
5,105564395,3300,1,8317239
12,105563642,1300,1,8316450
5,104661028,30000,1,8182258
5,104661306,1000,1,8181260
5,104662231,300,1,8182286
5,104661206,6000,1,8182230
17,104661447,10000000,9,8182270
5,105563696,15000,1,8316457
5,104660135,2500,1,8181238
5,104661501,5,1,8181288
12,104659034,500,1,8181106
16,104661226,4000,9,8181250
8,104661526,9000,9,8181292
1,104660895,4000,1,8182243
5,104661321,1000,1,8181262
5,104660852,200,1,8182240
