victim_id,circumstances_id,justifiable_force_id
98218019,10,
98233618,9,
102274009,9,
91403660,10,
98322532,9,
98327344,9,
98294824,1,
98242763,1,
98239027,1,
100741730,9,
100809543,1,
98202299,10,
100739603,10,
97212290,1,
100810256,1,
98245067,9,
98258668,1,
98258520,6,
98218395,1,
98315224,9,
98329037,9,
98343771,1,
101354220,10,
98264272,8,
98266519,1,
98289383,10,
102141024,1,
98212187,1,
98215010,9,
98203810,6,
98229236,9,
98261895,9,
98262670,10,
98199787,9,
98261868,10,
100761971,1,
98277486,1,
98281109,1,
98191339,10,
98195596,1,
98241150,1,
98287122,6,
98200202,10,
98200201,10,
98279490,1,
98344697,1,
98200439,6,
101355063,1,
98304618,9,
98305362,9,
97220973,10,
98347093,10,
97228536,1,
98252885,9,
98257816,9,
97231350,1,
98201044,10,
94744453,1,
90792505,9,
93307171,1,
98200305,1,
98257217,8,
98257217,1,
98294840,1,
100724563,10,
98242254,10,
98248496,10,
101355824,1,
101355879,1,
98268569,1,
98211670,1,
102025393,6,
100764754,9,
98247158,1,
98252986,5,
98244206,1,
98205333,6,
98205333,1,
98206371,9,
98220077,10,
98226292,1,
98226292,3,
100760306,1,
97223924,6,
97223924,9,
97224213,1,
97224516,1,
100811181,10,
98202830,10,
98362151,1,
98191315,9,
98227167,1,
98227167,8,
100762523,1,
98289155,6,
98239437,1,
98190619,10,
98264700,1,
98221105,1,
100761138,9,
98247611,9,
98257167,10,
98290048,9,
98289263,1,
98216130,6,
98304619,9,
98304614,9,
98304627,9,
98232452,1,
98347094,10,
97212122,9,
101355594,1,
98323179,9,
98198816,9,
98286599,2,
98214482,1,
98252702,1,
98263831,1,
98334943,10,
98335797,1,
98335803,1,
98335210,1,
98339109,6,
98342797,10,
98345874,1,
98203571,1,
98239292,6,
98252991,5,
98218410,10,
98241481,10,
98217769,6,
97224330,9,
97231390,1,
97232152,6,
98306038,1,
98312289,9,
98312972,9,
98312975,10,
98314237,10,
98291243,10,
98294721,10,
101353474,1,
98190227,10,
98347459,1,
98201845,1,
98206350,10,
98189843,9,
98189900,8,
102273988,1,
102274006,2,
102274139,8,
100795820,1,
98229415,1,
98229892,1,
98237747,1,
98197487,1,
98199378,9,
98281358,1,
98286026,1,
98220946,1,
98220545,1,
98230777,10,
98270771,1,
98230118,9,
98230113,9,
101354144,1,
101354408,1,
101354437,1,
101354519,1,
98304606,9,
98304623,9,
98330823,6,
98330823,9,
97216525,8,
97225824,1,
97230889,1,
97231037,1,
98347091,10,
97231601,9,
98278702,1,
98303840,1,
98214587,1,
98230427,10,
101350108,10,
98193743,1,
98218018,10,
98238417,1,
101355710,1,
98335207,1,
98218831,1,
100768152,10,
98229882,1,
98252333,10,
98246344,6,
98246344,8,
97231376,6,
98237512,9,
98237596,10,
98221849,10,
98222062,3,
98197880,1,
98244741,6,
98190929,1,
98220206,2,
102274008,1,
92724403,1,
98312966,9,
101353471,1,
101353465,1,
98190229,10,
98190952,10,
100749558,1,
98189898,8,
100762526,1,
98214157,9,
100761109,1,
98266542,10,
98227393,10,
98229237,9,
98226014,8,
98226014,1,
98260817,1,
98262669,9,
98192103,1,
100668401,9,
98191386,1,
101356143,1,
98200802,10,
98289268,9,
98290052,1,
98291491,1,
98296482,9,
98202281,10,
101355678,1,
98304621,9,
98304629,9,
97225906,1,
98258733,9,
97218415,8,
97231352,10,
101345804,10,
101354285,1,
98321229,9,
98331387,6,
98200568,10,
98230431,10,
98248991,9,
98197641,1,
98255070,1,
98255072,6,
98206162,10,
98214480,1,
98263834,1,
98334942,10,
98209024,9,
101905570,6,
98196875,6,
100704199,1,
98239328,9,
98252988,5,
98252981,5,
98252990,5,
98252978,5,
98256785,1,
100809526,1,
97226224,1,
98206504,8,
98205245,9,
98217694,9,
98244469,9,
100643936,1,
98197043,1,
100750125,1,
98321473,10,
98325277,1,
98192094,9,
98191388,9,
98191394,9,
98192141,9,
102273975,1,
98214154,9,
98204299,6,
98214946,1,
98226207,1,
98226207,8,
98231007,10,
98233888,1,
98233888,6,
98229411,1,
98221786,1,
98267894,9,
98273988,1,
100663182,6,
98276367,1,
98276719,1,
98289270,9,
98331833,10,
98220624,1,
98219054,9,
98304611,9,
98322983,9,
98239710,8,
98239710,1,
98241462,9,
97228734,1,
97224251,1,
98298972,1,
98298972,8,
98323178,9,
98231263,8,
98247559,1,
98286964,10,
98212657,1,
98234909,9,
101354309,1,
98259886,10,
101356957,1,
98288825,10,
98315620,9,
98194816,10,
98196538,10,
100730171,9,
98209366,1,
98252985,5,
98252983,5,
98190626,9,
98239023,1,
100652172,1,
98256270,6,
98200848,9,
98209546,10,
97231491,6,
97227510,1,
97227934,1,
98222060,3,
98221865,9,
101942336,10,
98335751,1,
98289148,9,
98326948,9,
98345628,1,
98351190,1,
98353434,1,
98347811,1,
98319428,10,
97234611,10,
100660711,6,
98204190,9,
98206252,3,
98222206,1,
98226113,1,
98226113,8,
90787908,1,
92307525,6,
92825720,10,
92825850,1,
90822888,1,
92772633,10,
98204554,10,
98199672,1,
98315323,1,
98221627,1,
98253875,1,
98279639,9,
98212802,9,
98217683,1,
98222107,1,
98240849,1,
98240849,2,
94121631,1,
94122354,1,
98208729,1,
98213404,8,
98216058,1,
98319299,10,
102071611,1,
98279158,10,
98352685,9,
98198107,10,
98347089,9,
98322792,10,
98218205,6,
98335171,1,
98273503,1,
101354886,1,
100764486,10,
100878178,1,
100650175,9,
98341832,1,
98344965,1,
100767394,10,
98361288,10,
98322037,1,
98311634,9,
98325613,1,
98343591,10,
98215419,1,
98235316,9,
92285616,9,
92774467,10,
92825851,1,
92826100,1,
94736311,1,
90823763,1,
94764799,1,
90822887,1,
98196549,1,
101891229,10,
98219893,9,
100668206,6,
98218626,1,
98225197,2,
98273367,1,
98239866,3,
98327651,1,
98303940,6,
98244112,6,
98246547,8,
98246547,1,
98206601,10,
101356033,1,
98222840,1,
98318681,6,
98336933,1,
98256781,1,
100884721,1,
98250091,10,
98264274,8,
98308070,1,
98212684,6,
98190681,9,
98218621,10,
98327258,6,
98335757,1,
98270772,6,
98289152,9,
100750715,1,
98289196,2,
98310873,1,
98341090,3,
98344969,1,
98349975,1,
98308590,1,
98351188,1,
98308557,1,
98315445,1,
98285706,1,
98285703,1,
98339146,9,
100657179,1,
98319425,10,
98327426,1,
98353181,10,
100778574,8,
100778574,4,
97233222,1,
97239221,10,
97239223,10,
98222260,1,
92329326,1,
92329459,1,
91364316,1,
93773470,10,
90797759,6,
94737707,9,
94737857,1,
100659664,1,
98283988,1,
98307755,1,
98211174,1,
98230355,1,
98228960,4,
98241515,1,
98244865,1,
98250987,1,
98227379,1,
98295027,1,
98243990,9,
98243990,1,
98331563,9,
98260665,1,
98345987,10,
98346048,6,
100667546,1,
98343008,9,
98231201,1,
98331269,1,
98289197,2,
98345631,1,
98328989,1,
98328993,1,
98341583,1,
98362063,1,
98361910,10,
98202137,1,
98210681,1,
100874727,9,
98313100,9,
98294837,9,
100784696,1,
98327423,1,
100705807,1,
97228845,1,
91364384,10,
90793244,1,
93879697,1,
90797242,10,
90798037,10,
92825741,1,
90804954,9,
90835807,1,
95695433,1,
93323646,1,
100660234,8,
98191664,10,
100654644,2,
98206763,1,
98206766,1,
98200416,1,
98216343,10,
101883921,9,
101884857,9,
100811129,1,
98347438,1,
