agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
15734,PA0022800,PA0022800,Allegheny County Police Department,Allegheny County Police Department,2,County,,,,,42,PA,2258,Allegheny,42003,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,6,0,9,,,,2016,215,58,15208,40.46892,-79.98092
15792,PA0029000,PA0029000,Sharpsburg Police Department,Sharpsburg,1,City,,,9358,Pittsburgh,42,PA,2258,Allegheny,42003,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,3410,6,"Cities from 2,500 thru 9,999",L,Y,N,11,0,9,,,,2016,5,0,15215,40.46892,-79.98092
16840,PA0461100,PA0461100,Jenkintown Police Department,Jenkintown,1,City,,,9122,Jenkintown,42,PA,2302,Montgomery,42091,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,4450,6,"Cities from 2,500 thru 9,999",L,Y,N,11,0,7,,,,2015,13,2,19046,40.209999,-75.370201
15836,PA0040800,PA0040800,Baden Police Department,Baden,1,City,,,8794,Baden,42,PA,2260,Beaver,42007,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,4036,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,8,,,,2016,3,0,15005,40.68414,-80.350721
16246,PA018DE00,PA018DE00,Bureau of Narcotics: Clinton County,Bureau of Narcotics: Clinton County,6,Other State Agency,,,,,42,PA,2274,Clinton,42035,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1976,,2016,2013,,0,8D,"Non-MSA counties under 10,000",L,N,N,12,0,10,,,,2006,15,3,17120,41.245301,-77.649141
16896,PA0480200,PA0480200,Colonial Regional Police Department,Colonial Regional,1,City,,,8825,Bethlehem,42,PA,2304,Northampton,42095,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,20152,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,24,2,18014,40.752791,-75.307447
17284,PA0672100,PA0672100,Jackson Township Police Department,Jackson Township,1,City,,,9472,Spring Grove,42,PA,2323,York,42133,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2014,2006,7845,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,0,17279,PA0671500,Northern York Regional,2002,8,1,17362,39.921751,-76.728889
16826,PA045BF00,PA045BF00,Bureau of Forestry: Monroe County,Bureau of Forestry: Monroe County,6,Other State Agency,,,,,42,PA,2301,Monroe,42089,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1994,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,12,0,7,,,,2005,1,0,17101,41.05624,-75.329065
16897,PA0480300,PA0480300,Bethlehem Police Department,Bethlehem,1,City,,,8825,Bethlehem,42,PA,2304,Northampton,42095,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,75169,3,"Cities from 50,000 thru 99,000",L,N,Y,12,0,10,,,,2016,148,0,18018,40.752791,-75.307447
25596,PA0353700,PA0353700,Pennsylvania State University: Worthington Scranton,Pennsylvania State University: Worthington Scranton,3,University or College,,979,,,42,PA,2291,Lackawanna,42069,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2015,,2016,2014,,0,7,"Cities under 2,500",M,Y,N,12,0,1,,,,2016,2,0,     ,41.44025,-75.609587
16388,PA0233300,PA0233300,"Tinicum Township, Delaware County","Tinicum Township, Delaware County",1,City,,,9007,Essington,42,PA,2279,Delaware,42045,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,4109,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,17,2,19029,39.91667,-75.398786
16578,PA0360900,PA0360900,Marietta Police Department,Marietta,1,City,,,9198,Marietta,42,PA,2292,Lancaster,42071,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1975,,2016,2013,,2608,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,15,2,17547,40.041992,-76.250198
16907,PA0481300,PA0481300,Bushkill Township Police Department,Bushkill Township,1,City,,,9278,Nazareth,42,PA,2304,Northampton,42095,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1975,,2016,2013,,8433,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,16,1,18064,40.752791,-75.307447
17009,PA0542300,PA0542300,Palo Alto Police Department,Palo Alto,1,City,,,9376,Pottsville,42,PA,2310,Schuylkill,42107,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1975,,2016,2013,,1008,7,"Cities under 2,500",L,N,N,3,0,7,,,,2016,1,0,17901,40.703682,-76.217788
15949,PA0070500,PA0070500,Bellwood Police Department,Bellwood,1,City,,,8811,Bellwood,42,PA,2263,Blair,42013,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,1787,7,"Cities under 2,500",L,Y,N,12,0,10,,,,2016,1,0,16617,40.497922,-78.310636
15729,PA0022300,PA0022300,Sewickley Police Department,Sewickley,1,City,,,9431,Sewickley,42,PA,2258,Allegheny,42003,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,4397,6,"Cities from 2,500 thru 9,999",L,Y,N,7,0,8,,,,2016,8,1,15143,40.46892,-79.98092
16617,PA0365100,PA0365100,Millersville University,Millersville University,3,University or College,,376,,,42,PA,2292,Lancaster,42071,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1979,,2016,2013,,0,7,"Cities under 2,500",L,Y,N,12,0,9,,,,2016,14,2,17551,40.041992,-76.250198
17103,PA0591800,PA0591800,Gaines Township Police Department,Gaines Township,1,City,,,9044,Gaines,42,PA,2315,Tioga,42117,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2007,,2016,2013,,551,7,"Cities under 2,500",L,N,N,12,0,10,,,,,,,16921,41.766859,-77.257288
16831,PA0460200,PA0460200,Ambler Police Department,Ambler,1,City,,,8776,Ambler,42,PA,2302,Montgomery,42091,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,6522,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,12,1,19002,40.209999,-75.370201
16493,PA030BF00,PA030BF00,Bureau of Forestry: Greene County,Bureau of Forestry: Greene County,6,Other State Agency,,,,,42,PA,2286,Greene,42059,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2002,,2016,2013,,0,8D,"Non-MSA counties under 10,000",L,N,N,12,0,7,,,,,,,17101,39.847707,-80.225655
17190,PA063DE00,PA063DE00,Bureau of Narcotics: Washington County,Bureau of Narcotics: Washington County,6,Other State Agency,,,,,42,PA,2319,Washington,42125,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1976,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,12,0,10,,,,,,,17120,40.200005,-80.252132
