suspect_using_id,offense_id
4,84226018
4,84223000
4,84222625
4,84214095
4,84222626
4,84215445
4,84226019
4,84226020
4,84215446
4,84223001
4,84214096
4,84214097
4,84215456
4,84230927
4,84230928
4,84226021
4,84235003
4,84230929
4,84222627
4,84235004
4,84215447
4,84222628
4,84230930
4,84235014
4,84214098
4,84226022
4,84222629
4,84235005
4,84214099
4,84214100
4,84222630
4,84222631
4,84214101
4,84235006
4,84226023
4,84226024
4,84222632
4,84230931
4,84222633
4,84222634
4,84230932
4,84223002
4,84226025
4,84226026
4,84214103
4,84223013
4,84214102
4,84215448
4,84223003
4,84226027
4,84235007
4,84222635
4,84230933
4,84215449
4,84226028
4,84222636
4,84230934
4,84223004
4,84215450
4,84223005
4,84223006
4,84235008
4,84235009
4,84235010
4,84222637
4,84226029
4,84230935
4,84226030
4,84215451
4,84214104
4,84226031
4,84223007
4,84214105
4,84222638
4,84214106
4,84222639
4,84235011
4,84226032
4,84215452
4,84215453
4,84222640
4,84222641
4,84223008
3,84226033
4,84235012
4,84223009
4,84233131
4,84214107
4,84214108
4,84223010
4,84223011
4,84223012
4,84233893
4,84233894
4,84235013
4,84214109
4,84230936
4,84230937
4,84215454
4,84214110
4,84226034
4,84226035
4,84215455
4,84223014
1,84214111
4,84223015
4,84235015
4,84223016
4,84214112
4,84223017
4,84235763
4,84230938
4,84223020
4,84233895
4,84230939
4,84235764
4,84226036
4,84226037
4,84233896
4,84223018
4,84216203
4,84215457
4,84223019
4,84226038
4,84223021
4,84223022
4,84230940
4,84230941
4,84233897
4,84223023
4,84223024
4,84233898
4,84233899
4,84230942
4,84226039
4,84223025
4,84235765
4,84226040
4,84216204
4,84230943
4,84230944
4,84233900
4,84226041
4,84230945
4,84230946
4,84216205
4,84235766
4,84226042
4,84230281
4,84231030
4,84214113
4,84223026
4,84214114
4,84214115
4,84235767
4,84226043
4,84230947
4,84235768
4,84231031
4,84230948
4,84233901
4,84214116
4,84230949
4,84231032
3,84231033
4,84226044
4,84235769
4,84231034
4,84235770
4,84214117
4,84214118
4,84231035
4,84214119
4,84233902
4,84231036
4,84214120
4,84214121
4,84233903
4,84214122
4,84231037
4,84230950
4,84231038
4,84233906
4,84223032
4,84223037
4,84233918
4,84230956
4,84214130
1,84231039
4,84233904
